CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009-12-01,955,337,319,406,363,343,360,327,321,346,403,473,359,270,233,289,251,289,270,248,244,301,291,389,188
2010-01-01,383,79,119,117,101,115,99,88,107,122,116,66,85,68,72,58,90,76,71,75,93,74,94,22,0
2010-02-01,374,89,84,109,92,75,72,107,95,103,43,47,57,65,46,75,60,61,54,86,86,61,22,0,0
2010-03-01,443,84,102,107,103,90,109,134,122,48,51,63,89,72,89,75,77,69,78,89,94,35,0,0,0
2010-04-01,294,57,57,48,54,66,81,77,31,32,22,41,41,46,46,46,41,44,53,66,17,0,0,0,0
2010-05-01,254,40,43,44,45,65,54,32,15,21,29,34,39,39,25,32,35,42,39,12,0,0,0,0,0
2010-06-01,270,47,51,55,62,77,34,24,22,32,29,37,40,33,30,33,36,55,14,0,0,0,0,0,0
2010-07-01,186,29,34,55,54,26,21,27,27,21,25,27,25,25,36,32,44,15,0,0,0,0,0,0,0
2010-08-01,162,33,48,52,28,19,16,20,22,21,21,20,25,30,29,32,11,0,0,0,0,0,0,0,0
2010-09-01,243,55,57,30,22,25,33,24,31,32,28,24,53,40,39,13,0,0,0,0,0,0,0,0,0
2010-10-01,377,97,55,47,33,31,49,52,40,35,40,49,72,87,26,0,0,0,0,0,0,0,0,0,0
2010-11-01,325,57,30,31,25,28,42,32,28,29,36,47,83,20,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,76,7,4,7,9,5,4,7,4,2,7,15,2,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,71,12,15,14,15,11,11,9,8,15,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,124,20,19,23,27,19,19,18,18,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,179,33,39,36,40,27,37,36,43,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,106,27,21,21,19,25,19,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,111,26,27,18,24,23,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,108,25,23,29,22,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,102,22,31,28,35,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,106,29,33,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,189,51,71,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,221,71,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,191,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
