Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country,Revenue
503546,20727,LUNCH BAG  BLACK SKULL.,10,2010-04-01 14:51:00,1.65,16351,United Kingdom,16.5
538508,21584,RETROSPOT SMALL TUBE MATCHES,6,2010-12-12 13:32:00,1.65,15998,United Kingdom,9.899999999999999
555586,22595,GINGHAM HEART DECORATION,12,2011-06-06 09:12:00,0.85,14232,United Kingdom,10.2
527890,22714,CARD BIRTHDAY COWBOY,12,2010-10-19 12:15:00,0.42,17365,United Kingdom,5.04
546005,85194L,HANGING SPRING FLOWER EGG LARGE,12,2011-03-08 15:17:00,0.85,14426,United Kingdom,10.2
531736,22121,NOEL WOODEN BLOCK LETTERS ,3,2010-11-09 12:29:00,5.95,14243,United Kingdom,17.85
546679,20974,12 PENCILS SMALL TUBE SKULL,3,2011-03-15 16:47:00,0.65,13121,United Kingdom,1.9500000000000002
555501,23172,REGENCY TEA PLATE PINK,3,2011-06-03 15:37:00,1.65,15508,United Kingdom,4.949999999999999
512889,21899,"KEY FOB , GARAGE DESIGN",5,2010-06-18 12:04:00,0.65,16797,United Kingdom,3.25
523195,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,100,2010-09-21 08:25:00,1.65,13802,United Kingdom,165.0
560555,22979,PANTRY WASHING UP BRUSH,1,2011-07-19 13:01:00,1.45,14178,United Kingdom,1.45
534219,35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,1,2010-11-21 16:13:00,0.42,13230,United Kingdom,0.42
550784,23184,BULL DOG BOTTLE OPENER,4,2011-04-20 13:59:00,4.95,13269,United Kingdom,19.8
526753,82484,WOOD BLACK BOARD ANT WHITE FINISH,3,2010-10-13 10:12:00,6.45,13267,United Kingdom,19.35
565853,22030,SWALLOWS GREETING CARD,12,2011-09-07 13:19:00,0.42,13756,United Kingdom,5.04
499284,22317,FIVE CATS HANGING DECORATION,6,2010-02-25 18:58:00,2.95,14770,United Kingdom,17.700000000000003
537440,22503,CABIN BAG VINTAGE PAISLEY,1,2010-12-06 17:16:00,29.95,17869,United Kingdom,29.95
494897,20749,ASSORTED COLOUR MINI CASES,4,2010-01-19 14:16:00,7.95,12437,France,31.8
497382,21537,RETRO SPOTS PUDDING BOWL,1,2010-02-09 11:50:00,4.25,14680,United Kingdom,4.25
512807,22583,PACK OF 6 HANDBAG GIFT BOXES,2,2010-06-18 11:21:00,2.55,14646,Netherlands,5.1
509410,22563,HAPPY STENCIL CRAFT,6,2010-05-23 12:07:00,1.25,17769,United Kingdom,7.5
512422,21829,DINOSAUR KEYRINGS ASSORTED,36,2010-06-15 14:33:00,0.21,13477,United Kingdom,7.56
553038,23191,BUNDLE OF 3 RETRO NOTE BOOKS,12,2011-05-13 08:11:00,1.65,12471,Germany,19.799999999999997
550350,22197,SMALL POPCORN HOLDER,12,2011-04-18 10:04:00,0.85,15491,United Kingdom,10.2
541256,22730,ALARM CLOCK BAKELIKE IVORY,2,2011-01-16 14:36:00,3.75,13048,United Kingdom,7.5
504631,22406,MONEY BOX KINGS CHOICE DESIGN,12,2010-04-15 12:55:00,1.25,13647,United Kingdom,15.0
531792,22585,PACK OF 6 BIRDY GIFT TAGS,6,2010-11-09 15:20:00,1.25,14899,United Kingdom,7.5
522950,22691,DOORMAT WELCOME SUNRISE,1,2010-09-19 10:33:00,7.95,13542,United Kingdom,7.95
549927,16156S,WRAP PINK FAIRY CAKES ,400,2011-04-13 10:19:00,0.34,16684,United Kingdom,136.0
565443,22341,LOVE GARLAND PAINTED ZINC ,12,2011-09-04 14:22:00,1.65,12567,France,19.799999999999997
571054,85032B,BLOSSOM IMAGES GIFT WRAP SET,1,2011-10-13 13:58:00,0.65,14234,United Kingdom,0.65
577308,22423,REGENCY CAKESTAND 3 TIER,2,2011-11-18 13:14:00,12.75,15088,United Kingdom,25.5
518260,48187,DOORMAT NEW ENGLAND,2,2010-08-05 18:18:00,7.49,17049,United Kingdom,14.98
536381,84854,GIRLY PINK TOOL SET,5,2010-12-01 09:41:00,4.95,15311,United Kingdom,24.75
522501,15056N,EDWARDIAN PARASOL NATURAL,60,2010-09-15 11:07:00,4.95,15039,United Kingdom,297.0
503933,22217,T-LIGHT HOLDER HANGING LACE,12,2010-04-08 13:54:00,1.25,18065,United Kingdom,15.0
542303,21843,RED RETROSPOT CAKE STAND,1,2011-01-27 11:05:00,10.95,12539,Spain,10.95
578791,22055,MINI CAKE STAND  HANGING STRAWBERY,1,2011-11-25 12:20:00,1.65,12841,United Kingdom,1.65
545023,22464,HANGING METAL HEART LANTERN,12,2011-02-25 14:25:00,1.65,12921,United Kingdom,19.799999999999997
526197,22905,CALENDAR IN SEASON DESIGN,2,2010-10-10 12:53:00,2.95,17757,United Kingdom,5.9
569630,20727,LUNCH BAG  BLACK SKULL.,10,2011-10-05 11:44:00,1.65,13458,United Kingdom,16.5
