cohort_month,cohort_index,cohort_size,active_customers,retention_pct
2009-12-01,0,955,955,100.0
2009-12-01,1,955,337,35.29
2009-12-01,2,955,319,33.4
2009-12-01,3,955,406,42.51
2009-12-01,4,955,363,38.01
2009-12-01,5,955,343,35.92
2009-12-01,6,955,360,37.7
2009-12-01,7,955,327,34.24
2009-12-01,8,955,321,33.61
2009-12-01,9,955,346,36.23
2009-12-01,10,955,403,42.2
2009-12-01,11,955,473,49.53
2009-12-01,12,955,359,37.59
2009-12-01,13,955,270,28.27
2009-12-01,14,955,233,24.4
2009-12-01,15,955,289,30.26
2009-12-01,16,955,251,26.28
2009-12-01,17,955,289,30.26
2009-12-01,18,955,270,28.27
2009-12-01,19,955,248,25.97
2009-12-01,20,955,244,25.55
2009-12-01,21,955,301,31.52
2009-12-01,22,955,291,30.47
2009-12-01,23,955,389,40.73
2009-12-01,24,955,188,19.69
2010-01-01,0,383,383,100.0
2010-01-01,1,383,79,20.63
2010-01-01,2,383,119,31.07
2010-01-01,3,383,117,30.55
2010-01-01,4,383,101,26.37
2010-01-01,5,383,115,30.03
2010-01-01,6,383,99,25.85
2010-01-01,7,383,88,22.98
2010-01-01,8,383,107,27.94
2010-01-01,9,383,122,31.85
2010-01-01,10,383,116,30.29
2010-01-01,11,383,66,17.23
2010-01-01,12,383,85,22.19
2010-01-01,13,383,68,17.75
2010-01-01,14,383,72,18.8
2010-01-01,15,383,58,15.14
2010-01-01,16,383,90,23.5
2010-01-01,17,383,76,19.84
2010-01-01,18,383,71,18.54
2010-01-01,19,383,75,19.58
2010-01-01,20,383,93,24.28
2010-01-01,21,383,74,19.32
2010-01-01,22,383,94,24.54
2010-01-01,23,383,22,5.74
2010-02-01,0,374,374,100.0
2010-02-01,1,374,89,23.8
2010-02-01,2,374,84,22.46
2010-02-01,3,374,109,29.14
2010-02-01,4,374,92,24.6
2010-02-01,5,374,75,20.05
2010-02-01,6,374,72,19.25
2010-02-01,7,374,107,28.61
2010-02-01,8,374,95,25.4
2010-02-01,9,374,103,27.54
2010-02-01,10,374,43,11.5
2010-02-01,11,374,47,12.57
2010-02-01,12,374,57,15.24
2010-02-01,13,374,65,17.38
2010-02-01,14,374,46,12.3
2010-02-01,15,374,75,20.05
2010-02-01,16,374,60,16.04
2010-02-01,17,374,61,16.31
2010-02-01,18,374,54,14.44
2010-02-01,19,374,86,22.99
2010-02-01,20,374,86,22.99
2010-02-01,21,374,61,16.31
2010-02-01,22,374,22,5.88
2010-03-01,0,443,443,100.0
2010-03-01,1,443,84,18.96
2010-03-01,2,443,102,23.02
2010-03-01,3,443,107,24.15
2010-03-01,4,443,103,23.25
2010-03-01,5,443,90,20.32
2010-03-01,6,443,109,24.6
2010-03-01,7,443,134,30.25
2010-03-01,8,443,122,27.54
2010-03-01,9,443,48,10.84
2010-03-01,10,443,51,11.51
2010-03-01,11,443,63,14.22
2010-03-01,12,443,89,20.09
2010-03-01,13,443,72,16.25
2010-03-01,14,443,89,20.09
2010-03-01,15,443,75,16.93
2010-03-01,16,443,77,17.38
2010-03-01,17,443,69,15.58
2010-03-01,18,443,78,17.61
2010-03-01,19,443,89,20.09
2010-03-01,20,443,94,21.22
2010-03-01,21,443,35,7.9
2010-04-01,0,294,294,100.0
2010-04-01,1,294,57,19.39
2010-04-01,2,294,57,19.39
2010-04-01,3,294,48,16.33
2010-04-01,4,294,54,18.37
2010-04-01,5,294,66,22.45
2010-04-01,6,294,81,27.55
2010-04-01,7,294,77,26.19
2010-04-01,8,294,31,10.54
2010-04-01,9,294,32,10.88
2010-04-01,10,294,22,7.48
