customer_id,cohort_month,country,first_purchase_date,last_purchase_date,customer_lifespan_days,total_orders,total_revenue,avg_order_value,first_order_value,is_churned,is_lapsed_90d,eligible_for_90d,retained_90d
12346,2009-12-01,United Kingdom,2009-12-14,2011-01-18,400,12,77556.46,6463.04,45.0,0,1,1,1
12347,2010-10-01,Iceland,2010-10-31,2011-12-07,402,8,5633.32,704.16,611.53,0,0,1,1
12348,2010-09-01,Finland,2010-09-27,2011-09-25,363,5,2019.4,403.88,222.16,0,0,1,1
12349,2010-04-01,Italy,2010-04-29,2011-11-21,571,4,4428.69,1107.17,1068.52,0,0,1,1
12350,2011-02-01,Norway,2011-02-02,2011-02-02,0,1,334.4,334.4,334.4,1,1,1,0
12351,2010-11-01,Unspecified,2010-11-29,2010-11-29,0,1,300.93,300.93,300.93,1,1,1,0
12352,2010-11-01,Norway,2010-11-12,2011-11-03,356,10,2849.84,284.98,143.75,0,0,1,1
12353,2010-10-01,Bahrain,2010-10-27,2011-05-19,204,2,406.76,203.38,317.76,0,1,1,0
12354,2011-04-01,Spain,2011-04-21,2011-04-21,0,1,1079.4,1079.4,1079.4,1,1,1,0
12355,2010-05-01,Bahrain,2010-05-21,2011-05-09,353,2,947.61,473.81,488.21,0,1,1,0
12356,2010-10-01,Portugal,2010-10-11,2011-11-17,402,6,6373.68,1062.28,910.44,0,0,1,1
12357,2010-11-01,Switzerland,2010-11-16,2011-11-06,355,3,18287.66,6095.89,11229.99,0,0,1,1
12358,2009-12-01,Austria,2009-12-08,2011-12-08,730,5,3887.07,777.41,1429.83,0,0,1,0
12359,2009-12-01,Cyprus,2009-12-05,2011-10-13,677,10,8935.94,893.59,760.69,0,0,1,1
12360,2010-02-01,Austria,2010-02-22,2011-10-18,603,8,4252.89,531.61,118.0,0,0,1,1
12361,2010-01-01,Belgium,2010-01-26,2011-02-25,395,4,511.25,127.81,109.2,0,1,1,0
12362,2009-12-01,Belgium,2009-12-01,2011-12-06,735,11,5356.23,486.93,130.0,0,0,1,0
12363,2011-04-01,Unspecified,2011-04-11,2011-08-22,133,2,552.0,276.0,299.1,0,1,1,0
12364,2011-08-01,Belgium,2011-08-19,2011-12-02,105,4,1313.1,328.28,623.92,0,0,1,1
12365,2011-02-01,Cyprus,2011-02-21,2011-02-21,0,2,641.38,320.69,320.69,0,1,1,1
